OMA00100__LACBI|B0CY06
OMA08802__PGRA|PGTG_09630
OMA09316__PGRA|PGTG_00154
OMA09749__DEBHA|B5RUC8
OMA10735__ANID|AN1247
OMA11097__SCHCM|D8PPZ0
OMA00224__MACPH|K2S7A9
OMA00306__Batde5|estExt_fgenesh1_kg.C_150028
OMA00390__ANID|AN2491
OMA00417__MYCGM|F9X125
OMA00426__Batde5|estExt_Genewise1Plus.C_90139
OMA00448__Batde5|e_gw1.7.23.1
OMA00487__BAUCO|M2MXY8
OMA00491__CCIN|CC1G_09266
OMA00529__MUCC1|S2K8A3
OMA00653__Batde5|estExt_Genewise1.C_150094
OMA00736__Batde5|e_gw1.11.35.1
OMA00945__DEBHA|Q6BNU3
OMA00966__BAUCO|M2NP37
OMA01032__Batde5|estExt_fgenesh1_pg.C_20440
OMA01059__Batde5|GP3.047210
OMA01066__ANID|AN5588
OMA01135__MYCGM|F9X065
OMA01205__LACBI|B0D436
OMA01328__BAUCO|M2M6Y2
OMA01536__ARTOA|G1XIP4
OMA01577__CCIN|CC1G_06717
OMA01695__DEBHA|B5RTT7
OMA01702__MALGO|A8Q275
OMA01791__MALGO|A8Q4U1
OMA01866__ANID|AN4236
OMA01934__LACBI|B0CU44
OMA01957__ARTOA|G1X322
OMA01998__ARTOA|G1XHN5
OMA02764__NIRR|NEOLI_003838T0
OMA02790__MACPH|K2R8F8
OMA02894__MALGO|A8Q613
OMA03583__LEPMJ|E5A143
OMA03643__ANID|AN1665
OMA03950__DEBHA|Q6BKQ2
OMA04001__Batde5|e_gw1.2.97.1
OMA05003__CCIN|CC1G_00106
OMA05542__Batde5|fgenesh1_pg.C_scaffold_20000059
OMA05892__BAUCO|M2NB30
OMA05968__MACPH|K2S5G1
OMA06217__MYCGM|F9XB69
OMA07692__ARTOA|G1X741
OMA10242__BAUCO|M2MXG7
OMA00136__SCER|YAL026C
OMA00146__Batde5|estExt_fgenesh1_pm.C_10216
OMA00149__MACPH|K2S2F6
OMA00204__ANID|AN5088
OMA00217__MUCC1|S2JGK9
OMA00243__PGRA|PGTG_10372
OMA00312__Batde5|estExt_Genewise1Plus.C_90199
OMA00319__DEBHA|B5RU83
OMA00326__SCER|YLR419W
OMA00338__Rhior3|RO3G_11513
OMA00358__Batde5|GP3.037380
OMA00377__Batde5|estExt_Genewise1Plus.C_10101
OMA00385__ARTOA|G1XUB8
OMA00438__DEBHA|Q6BWU5
OMA00447__BAUCO|M2NB01
OMA00477__BAUCO|M2N5G7
OMA00497__DEBHA|Q6BYI2
OMA00526__MUCC1|S2IV02
OMA00562__DEBHA|Q6BNZ1
OMA00574__MYCGM|F9X753
OMA00660__CCIN|CC1G_01238
OMA00775__MYCGM|F9X3Z5
OMA01012__BAUCO|M2NFP3
OMA01019__LEPMJ|E5AE78
OMA01115__MALGO|A8Q534
OMA01163__MALGO|A8QAH4
OMA01204__DEBHA|Q6BY12
OMA01209__MUCC1|S2JK71
OMA01225__Batde5|estExt_Genewise1Plus.C_130056
OMA01251__NIRR|NEOLI_002510T0
OMA01348__ANID|AN6217
OMA01382__Batde5|GP3.030240
OMA01410__Batde5|GP3.007580
OMA01509__Batde5|estExt_fgenesh1_pg.C_140061
OMA01541__CCIN|CC1G_08510
OMA01660__DEBHA|B5RUA6
OMA01727__CCIN|CC1G_05895
OMA01801__NCRA|NCU08563
OMA01967__LEPMJ|E5AAS1
OMA02041__ARTOA|G1XEA1
OMA02186__BAUCO|M2MW55
OMA02226__MYCGM|F9X2L4
OMA02238__BAUCO|M2MYN8
OMA02331__DEBHA|Q6BRJ7
OMA02553__PGRA|PGTG_00016
OMA02655__Batde5|GP3.045530
OMA02674__ANID|AN6341
OMA02804__PCON|PCON_05593
OMA02844__LEPMJ|E4ZVI7
OMA02871__Batde5|estExt_fgenesh1_pm.C_60096
OMA03096__BAUCO|M2LWJ5
OMA03432__LACBI|B0D356
OMA03901__DEBHA|Q6BYY5
OMA04214__DEBHA|Q6BIF8
OMA04425__PGRA|PGTG_17550
OMA05889__MUCC1|S2JRG8
OMA05954__NIRR|NEOLI_002264T0
OMA06094__MALGO|A8Q003
OMA07167__Batde5|estExt_fgenesh1_pg.C_170105
OMA07624__CCIN|CC1G_08354
OMA09085__Batde5|GP3.068330
OMA09596__ARTOA|G1XAP2
OMA09833__NIRR|NEOLI_003291T0
