Species	index	cegma	busco	fgmp_fUCEs_est	fgmp_Protein_est	numSeqs	totalLength	maxLength	n50	n90	gcPercent	numNs
Choiromyces_venosus_120613-1.Chove1.v1	G.237	99.8	99.2	97.7	99.2	1176	126035033	2214587	623348	133926	43.5	3018770
Marssonina_brunnea_f._sp._multigermtubi_MB_m1	G.254	99.8	99.7	94.8	97.5	61	51602456	5185404	2023854	421959	43	230750
Lepidopterella_palustris.Leppa1.v1	G.285	99.8	99.1	97.7	99.5	3371	45668136	320835	51152	5574	46.2	33562
Thermoascus_aurantiacus_ATCC26904.Theau1.v1	G.290	99.8	99.8	96.5	97.6	48	28490209	3454837	2249591	932264	51.8	56136
Symbiotaphrina_kochii_250.77.Symko1.v1	G.316	99.8	99.4	97.7	98	54	24834845	2971423	2006159	965972	51.6	1367
Sporormia_fimetaria.Spofi1.v1	G.338	99.8	99.4	97.1	98.8	140	25892244	1656535	522463	165957	53.8	183499
Ogataea_parapolymorpha_DL-1	G.344	99.8	97.5	92.4	96.3	7	8874589	1515570	1293628	955766	47.9	4200
Trematosphaeria_pertusa_CBS_122368.Trepe1.v1	G.349	99.8	99.6	99.4	97.8	101	47745773	5011004	2097757	640357	51.4	684158
Yarrowia_lipolytica_CLIB122	G.13	99.6	99.3	93.6	94.6	7	20550897	4224103	3633272	2303261	49	1171
Tetrapisispora_phaffii_CBS_4417	G.31	99.6	99.7	86	95.4	16	12100190	1377933	815984	432466	33.6	15454
Ashbya_gossypii_FDAG1	G.158	99.6	98.6	89	92.2	9	9142809	1836693	1519140	870771	51.6	0
Kluyveromyces_lactis_NRRL_Y-1140	G.337	99.6	99.1	87.2	92.1	6	10689156	2602197	1753957	1320834	38.8	44
Gymnascella_citrina_NRRL_5970.Gymci1_1.v1.1	G.5	99.595	99.6	98.8	98.5	272	25160636	861338	232491	60814	51.6	16619
Botryosphaeria_dothidea_CBS_115476.Botdo1_1	G.23	99.595	99.9	99.4	100	1711	43500615	473293	86212	20472	54.7	309084
Pleomassaria_siparia_CBS_279.74.Plesi1.v1	G.116	99.595	99.6	98.8	98.3	193	43176591	4558380	1889306	535925	47.4	582084
Meliniomyces_bicolor_E.Melbi2.v2	G.162	99.595	99.5	97.7	100	206	82384847	6473820	1976469	534213	38.6	116954
Didymella_exigua_CBS_183.55.Didex1.v1	G.223	99.595	99.8	95.9	99.7	176	34389227	1701364	837364	205764	52.8	730909
Ascocoryne_sarcoides_NRRL_50072.Ascsa1	G.275	99.595	99.6	97.1	98.5	219	34170264	1148004	395555	105454	46.4	9
Aspergillus_fumigatus_Af293	G.276	99.595	99.6	100	100	8	29384958	4918979	3948441	2058334	49.8	575017
Zymoseptoria_pseudotritici_STIR04_4.3.1.Zymps1	G.286	99.595	99.5	96.5	99.3	1164	32658572	314862	91924	18932	53.6	1039203
Cladosporium_sphaerospermum_UM_843	G.304	99.595	99.4	97.1	98.1	117	26690478	1690939	969659	205879	55.7	171925
Pyronema_confluens_CBS_100304.Pyrco1	G.340	99.595	99.2	97.1	98.8	1588	50026054	603142	135140	15609	47.8	47944
Dibaeis_baeomyces.v0_1	G.358	99.595	98.9	95.9	99.7	1369	35272919	352342	70496	18424	47	71637
Arthroderma_benhamiae_CBS_112371	G.363	99.595	99.4	94.2	97.6	60	22180115	2108575	644461	288963	48.8	4
Saccharata_proteae_CBS_121410.Sacpr1.v1	G.1	99.395	99.8	97.1	98.5	245	31432921	3350875	934362	123032	53.7	515446
Monascus_purpureus_NRRL_1596.Monpu1.v1	G.15	99.395	99.6	96.5	98.8	296	23439871	386518	137837	44394	49	19163
Blumeria_graminis_f_sp_hordei_DH14.Blugr1	G.21	99.395	98.1	93	98.7	6843	118726170	9686481	2030396	38110	44	30820023
Capronia_coronata_CBS_617.96	G.27	99.395	99.8	97.7	97	10	25806497	4604234	3204506	1470957	52.8	7272
Thermomyces_lanuginosus_SSBP	G.34	99.395	99.4	94.8	100	311	19155516	479004	113553	31106	52.2	67
Trichoderma_atroviride_IMI_206040.Triat2.v2	G.44	99.395	99.7	95.3	98.1	29	36143664	5621775	2007903	1127681	49.7	0
Wilcoxina_mikolae_CBS_423.85.Wilmi1.v1	G.74	99.395	98.7	96.5	98.3	1604	117288895	2669682	483225	42984	45.8	4076043
Melanconium_sp_NRRL_54901.Melsp1.v1	G.103	99.395	99.8	97.7	96.8	100	58516921	5423018	1935326	470692	48	146919
Talaromyces_marneffei_ATCC_18224	G.125	99.395	99.6	99.4	97.5	18	28227917	6407042	3746755	2025471	46.7	147933
Coemansia_reversa_NRRL_1564.Coere1.v1	G.155	99.395	90.9	88.4	97	346	21838014	932302	347177	57797	45.2	1196280
Aureobasidium_pullulans_var_pullulans_EXF-150.Aurpu_var_pul1	G.160	99.395	99.8	98.8	98.7	186	29621078	2687588	1166847	270959	50	35792
Aspergillus_niger_ATCC_1015.Aspni7.v4	G.169	99.395	99.8	98.8	97.5	24	34853277	3774411	1937564	948738	50.3	0
Oidiodendron_maius_Zn.Oidma1.v1	G.172	99.395	99.3	98.3	98	100	46426256	6606482	1952282	517702	47.1	182272
Cryphonectria_parasitica_EP155.Crypa2.v2	G.201	99.395	99.8	98.3	96.6	26	43870411	7437273	5118729	2924153	50.8	70000
Cochliobolus_heterostrophus_C5	G.210	99.395	99.7	98.3	98.1	65	36439553	4213224	1842487	723385	49.8	132299
Gymnascella_aurantiaca.Gymau1.v1	G.213	99.395	99.4	93	98.8	347	25350464	764011	213154	55891	51.2	7564
Cenococcum_geophilum_1.58.Cenge3.v2	G.215	99.395	99.4	96.5	99.7	268	177557160	6408476	2235929	741252	37.5	213150
Acidomyces_richmondensis_BFW.Aciri1_iso	G.219	99.395	99.6	98.3	99.7	3164	29883570	215673	41652	4206	49.3	6457
Thielavia_terrestris_NRRL_8126.Thite2.v2	G.231	99.395	99.7	95.3	91.2	6	36912256	10101509	9477512	4396881	54.7	0
Cladonia_grayi_Cgr-DA2myc-ss.Clagr3.v2	G.282	99.395	98	95.3	99.7	414	34622149	958967	243412	43471	44.4	57006
Baudoinia_compniacensis_UAMH_10762.Bauco1.v1	G.307	99.395	99.4	97.1	100	19	21876451	2027063	1300637	1093223	54.8	10886
Cucurbitaria_berberidis_CBS_394.84.Cucbe1.v1	G.313	99.395	99.8	96.5	97.6	42	32905402	7248221	6233749	1825049	49.3	112774
Sphaerulina_musiva_SO2202	G.331	99.395	99.1	97.1	97.5	40	29235106	5112742	2040975	1517083	51.2	434671
Ilyonectria_sp_PMI-82.Ilysp1.v1	G.14	99.195	99.8	95.3	97.5	325	63663791	6023599	2888782	122127	51.1	483946
Aulographum_hederae_CBS_113979.Aulhe2.v2	G.22	99.195	99.4	95.9	98.7	173	31983478	1347584	529352	154648	52.4	432115
Lichtheimia_hyalospora_FSU_10163.Lichy1.v1	G.55	99.195	95.7	93	95.1	2222	33282407	615097	129127	12857	39.3	26568
Pseudogymnoascus_destructans_20631-21	G.61	99.195	99.6	95.3	98.7	539	29486566	452809	111047	32272	50.2	2321743
Coccidioides_immitis_RS	G.71	99.195	99.4	97.1	96.5	7	28889001	7986722	7406240	2624990	46	12158
Lentithecium_fluviatile_CBS_122367.Lenfl1.v1	G.79	99.195	99.8	98.3	98.7	195	54688705	2832977	1053498	285341	48	1927631
Penicillium_chrysogenum_Wisconsin_54-1255	G.93	99.195	99.9	98.8	97.8	49	32223735	6387817	3889175	709213	49	19918
Pichia_stipitis_CBS_6054.Picst3.v2	G.94	99.195	99.5	91.9	52.4	9	15441079	2740984	1803401	1114415	41.1	72
Ophiostoma_piceae_UAMH_11346	G.102	99.195	99.8	96.5	97.5	42	32762138	4381405	1451997	385131	53.4	310517
Patellaria_atrata_CBS_101060.Patat1.v1	G.123	99.195	98.6	94.8	98.3	127	28693344	3585016	1466072	317332	46.2	308350
Arthrobotrys_oligospora_ATCC_24927.Artol1	G.145	99.195	99.4	96.5	97.8	215	40072829	3323103	2037373	681077	44.5	106618
Amorphotheca_resinae_ATCC_22711.Amore1.v1	G.150	99.195	99.8	95.3	98.5	32	28632928	4111889	1980626	1329131	47.6	172827
Piedraia_hortae_CBS_480.64.Pieho1_1.v1.1	G.170	99.195	97.7	93	98.7	132	16946159	726567	260314	67429	52.2	82653
Thelebolus_stercoreus	G.190	99.195	98.9	91.9	98.8	379	26091195	1027732	303069	61973	50.5	140602
Sordaria_macrospora_k-hell	G.196	99.195	99.8	97.7	97.6	212	37238441	2538341	524019	111792	52.1	116985
Trichoderma_virens_Gv29-8.TriviGv29_8_2.v2	G.211	99.195	99.7	95.3	98.8	93	39022666	3456807	1836662	328624	49.2	14
Cyphellophora_europaea_CBS_101466	G.244	99.195	99.6	97.7	97.3	18	28778935	3761227	2379673	1170469	54	61686
Cadophora_sp_DSE1049.Cadsp1.v1	G.251	99.195	99.6	95.9	99.2	1193	70459101	1379531	236282	26094	45.8	57617
Exophiala_dermatitidis_NIH_UT8656	G.311	99.195	99.9	97.1	97	11	26376767	4245248	3623950	2701005	51.5	4560
Caliciopsis_orientalis_CBS_138_64.v1	G.335	99.195	99.5	97.1	99.5	643	28171555	392255	86295	26404	49.9	134895
Grosmannia_clavigera_kw1407	G.63	99.19	99.4	96.5	96.8	36	28807304	4437291	2272097	797636	53.9	551015
Mortierella_verticillata_NRRL_6337	G.133	99.19	95	90.1	94.4	55	41906935	5074928	2912254	818739	48.9	1037892
Debaryomyces_hansenii_CBS_767	G.365	99.19	99.7	89.5	94.8	8	12181948	2305761	2007515	1249940	36.3	728
Lophiostoma_macrostomum_CBS_122681.Lopma1.v1	G.45	98.995	99.6	99.4	99.5	1282	42577411	919722	160488	34618	50.8	2366
Sclerotinia_sclerotiorum_1980_UF-70	G.78	98.995	99.4	97.7	97.3	35	38291501	2777073	1625527	655836	41.8	328861
Nectria_haematococca_FGSC_9596	G.86	98.995	99.8	95.9	100	197	51080488	4937060	1255602	99944	50.9	54368
Metarhizium_anisopliae_ARSEF_23	G.128	98.995	99.7	93.6	97.8	129	39061713	6168534	1958674	208832	51.5	101898
Fusarium_fujikuroi_IMI58289	G.163	98.995	99.8	97.7	96.1	12	43832314	6564208	4234805	2553298	47.5	24502
Polychaeton_citri_CBS_116435.Polci1.v1	G.176	98.995	99.5	98.3	99	416	27207581	882825	280913	73026	51.5	10926
Mortierella_elongata.Morel1.v1	G.186	98.995	95.5	91.9	97.3	473	49959475	1529192	518384	105800	48.1	1261273
Umbelopsis_ramanniana_NRRL_5844.Umbra1.v1	G.257	98.995	92.7	94.2	94.1	198	23077072	879638	294116	88390	43.2	16950
Pyrenophora_tritici-repentis	G.268	98.995	99.4	96.5	96.8	45	37825929	6767051	1986450	693314	51	633187
Endocarpon_pallidulum_Enpa.v0_1	G.302	98.995	98.1	96.5	99.7	5508	41444434	226460	39894	2711	43.7	1057529
Komagataella_pastoris_GS115	G.0	98.99	98	91.3	93.8	4	9216378	2798491	2394163	1778296	41.1	982
Talaromyces_stipitatus_ATCC_10500	G.43	98.99	99.7	100	97.6	16	34886313	5640589	4363329	1848503	46.1	125963
Karstenula_rhodostoma_CBS_690.94.Karrh1.v1	G.101	98.99	99.8	98.8	97.6	139	45074449	3083553	1929311	988968	47.6	447348
Phycomyces_blakesleeanus_NRRL_1555.Phybl2.v2	G.108	98.99	92.5	94.2	95.1	80	53939167	4452461	1515579	467688	35.8	570286
Myriangium_duriaei_CBS_260.36.Myrdu1.v1	G.168	98.99	99.6	95.3	99.7	16	25685045	4229277	1862757	1275223	52.2	1600
Podospora_anserina_S_mat+.Podan2	G.184	98.99	99.7	98.8	96.5	7	35010595	8813524	4734292	3808395	52.2	254335
Leptosphaeria_maculans_JN3	G.341	98.99	99.3	97.1	97.1	34	44593273	4258568	1769547	1020521	45.3	1077297
Zopfia_rhizophila_CBS_207.26.Zoprh1.v1	G.357	98.99	99.4	96.5	98	864	152781427	5791380	1570826	308155	33.4	763744
Meyerozyma_guilliermondii_ATCC_6260	G.11	98.79	98.7	90.7	92.7	9	10609954	2092950	1701016	887468	43.8	35417
Cladosporium_fulvum_CBS_131901.Clafu1.v1	G.48	98.79	98.4	96.5	99.2	4865	61113266	530628	56512	5928	48.8	320683
Clavispora_lusitaniae_ATCC_42720	G.75	98.79	99	90.7	93.6	9	12114892	2423571	1874050	779898	44.5	34973
Millerozyma_farinosa_CBS_7064	G.87	98.79	98.1	90.7	96.6	14	21459642	2122704	1666063	1095816	41.4	934
Melanomma_pulvis-pyrius_CBS_109.77.Melpu1.v1	G.88	98.79	99.6	98.3	98.7	1754	42094923	279762	64290	15360	50.7	3214
Chaetosphaeria_innumera	G.104	98.79	98.6	97.1	98.8	706	37690963	635954	115330	33656	54.4	201059
Neurospora_crassa_OR74A	G.136	98.79	99.7	98.3	99	121	38368508	1842146	674492	165537	49.8	2349
Phaeoacremonium_aleophilum_UCRPA7.Phaal1	G.156	98.79	99.8	98.3	98.5	624	47465449	1628638	334554	70803	49.7	83705
Apiospora_montagnei_NRRL_25634.Apimo1.v1	G.180	98.79	99.7	97.1	99.2	686	47671174	935021	234563	63358	52	18467
Rhodotorula_minuta_MCA_4210.Rhomi1.v1	G.193	98.79	92.3	88.4	92.1	38	20824934	4042679	3450099	817545	50.2	22738
Trichophyton_rubrum_CBS_118892	G.202	98.79	99	93.6	96.6	21	22382563	4087159	2156965	764112	48.4	393733
Magnaporthe_oryzae_70-15	G.243	98.79	99.4	96.5	91.9	7	40491973	8319966	6606598	4133993	51.6	29200
Acremonium_alcalophilum.Acral2.v2	G.256	98.79	99.8	95.9	95.1	13	54417234	11072988	7202420	2893979	46.4	129398
Pseudographis_elatina	G.267	98.79	99.3	98.3	99.3	601	36124988	447407	118579	33055	44	175372
Paracoccidioides_brasiliensis_Pb18	G.270	98.79	99.1	96.5	97.1	46	29866856	3931613	2149514	338417	44.4	474930
Lodderomyces_elongisporus_NRRL_YB-4239	G.287	98.79	98.7	90.1	94.1	26	15505741	3549218	2011058	544997	37	86652
Anthostoma_avocetta_NRRL_3190.Antav1.v1	G.297	98.79	99.3	95.3	99	786	56234513	4773676	1122808	179084	44.4	110159
Cordyceps_militaris_CM01.Cormi1	G.333	98.79	99.7	93	97.8	32	32268578	6263243	4551492	2818147	51.4	56517
Suillus_luteus_UH-Slu-Lm8-n1.Suilu1.v1	G.28	98.59	89	93	93.4	1944	37014302	566938	57586	8721	48	80464
Acarospora_strigata_CBS_132363.v0_2	G.60	98.59	97.5	97.7	98.7	938	26834860	348235	81300	20208	48.8	228381
Glomerella_cingulata_23.Gloci1.v1	G.269	98.59	99.8	97.1	97.3	119	58838139	5521574	2304310	510651	52.4	433828
Ascobolus_immersus_RN42.Ascim1.v1	G.314	98.59	97.4	96.5	97.5	706	59529874	1459691	268758	65679	49.3	644242
Hebeloma_cylindrosporum_h7.Hebcy2.v2	G.322	98.59	90	93.6	91.1	176	38226047	3307763	1068939	198816	48.4	2017837
Rhodosporidium_toruloides_NP11	G.332	98.59	96.2	86	94.6	81	20201010	1534859	574942	218878	62	41371
Melampsora_laricis-populina_98AG31.Mellp1.v1	G.339	98.59	86	86.6	94.4	462	101129028	4071029	1146214	256359	41	3446329
Beauveria_bassiana_ARSEF_2860.Beaba1	G.138	98.585	99.6	92.4	98.8	235	33693936	2084429	729568	101529	51.5	99162
Phanerochaete_chrysosporium.Phchr2.v2.2	G.9	98.385	96.6	94.2	92.7	232	35149519	3273479	1906386	398176	56.8	2645421
Fusarium_graminearum_PH-1	G.25	98.385	99.4	97.7	91.7	11	36354132	8919943	5374683	2744597	48.3	421884
Daldinia_eschscholzii_EC12.DalEC12_1.v1	G.98	98.385	99.4	96.5	98.3	398	37551009	2525816	888941	167055	45	106718
Coprinopsis_cinerea_okayama7_130	G.107	98.385	96.3	93.6	91.2	65	36180177	4146986	3468139	2020770	51.6	34
Amanita_thiersii_Skay4041.Amath1.v1	G.200	98.385	90.6	93	92.4	1446	33689220	1038040	77057	9313	45.3	559093
Plicaturopsis_crispa_CBS_459.81.Plicr1.v1	G.218	98.385	96	90.7	92.4	316	34498416	4119651	1834389	393414	53.7	1141519
Postia_placenta_MAD_698-R.PosplRSB12_1.v1	G.289	98.385	94.6	92.4	91.9	549	42453726	4334814	2104516	626331	53.8	2612215
Spathularia_flavida	G.336	98.385	99	97.7	99.5	2248	35673938	321495	63307	13359	43.9	509429
Auriscalpium_vulgare_FP105234-Sp.Aurvu1.v1	G.70	98.185	96.4	91.9	94.9	1349	39647923	837378	82970	12925	56.8	773782
Dekkera_bruxellensis_CBS_2499.Dekbr2.v2	G.165	98.185	94.4	90.7	97.3	84	13385232	2877306	1792735	190560	39.9	586105
Taphrina_deformans	G.177	98.185	95	93.6	99.2	342	13131673	244112	72809	19137	49.6	115888
Rhodotorula_graminis_WP1.Rhoba1_1.v1.1	G.181	98.185	96.5	84.9	88.9	26	21013998	2366775	1420730	525756	67.8	236450
Botryobasidium_botryosum_FD-172_SS1.Botbo1.v1	G.280	98.185	91.3	90.1	92.9	334	46674321	2162810	444941	109301	52.4	925647
Ramaria_rubella_UT-36052-T.Ramac1.v1	G.324	98.185	90.7	91.3	91.7	1553	105462249	1768043	229116	52302	45.8	8041294
Microbotryum_violaceum_p1A1_Lamole	G.20	97.985	93.3	88.4	94.6	312	25212987	867920	203716	44844	55.4	921495
Fibulorhizoctonia_sp_CBS_109695.Fibsp1.v1	G.38	97.985	93.5	89.5	95.3	1918	95125689	1754491	289599	40787	51.7	5917872
Hypholoma_sublateritium.Hypsu1.v1	G.65	97.985	93	93.6	93.4	704	48031814	1726651	298747	58947	51	1525919
Coniochaeta_ligniaria_CBS_111746	G.183	97.985	99.1	98.3	99.3	1566	43695863	418590	90502	16735	51.9	503271
Laccaria_bicolor_S238N-H82.Lacbi2.v2	G.205	97.985	90.5	93	88.4	55	60707050	12608159	4309560	724552	46.9	1227105
Gloeophyllum_trabeum_ATCC_11539.Glotr1_1.v1	G.221	97.985	93.4	91.3	92.2	443	37181821	4293775	1857171	659595	53.2	2749101
Claviceps_purpurea_20.1	G.262	97.985	99.3	94.2	98.1	191	32091443	977986	433221	110809	51.8	1189572
Coniophora_puteana_RWD-64-598_SS2.Conpu1.v1	G.266	97.985	94.3	89.5	90.4	210	42968544	4542293	2400794	1073289	52.4	1104312
Sistotremastrum_suecicum_HHB10207_ss-3.Sissu1.v1	G.274	97.985	89	92.4	92.1	1028	33857913	793452	110048	16577	49.3	11623
Bjerkandera_adusta_HHB-12826-SP_SB-22.Bjead1_1.v1	G.281	97.985	95.5	93.6	92.4	508	42730300	3319996	1031661	157278	54.8	2500689
Clavicorona_pyxidata_HHB10654.Clapy1.v1	G.283	97.985	93.9	91.9	93.9	477	37987417	1958655	472950	73372	54.7	1060713
Schizopora_paradoxa_KUC8140.Schpa1.v1	G.298	97.985	90.7	90.7	94.3	1291	44406206	1181666	121466	19719	49.4	38401
Protomyces_inouyei	G.315	97.985	94.7	95.3	98.5	1535	12201973	167947	36687	6221	51.1	0
Ustilago_maydis_521.v190413	G.327	97.98	96.9	90.7	97.6	28	19667011	2476501	884984	552767	54	22900
Pseudozyma_antarctica_T-34	G.355	97.98	97.4	87.8	96.8	26	18061618	2384790	730470	469953	61.1	229165
Leucogyrophana_mollusca_KUC20120723A-06.Leumo1.v1	G.6	97.785	90.7	92.4	92.6	1262	35193237	615492	93502	13743	51.7	73430
Fomitiporia_mediterranea_MF3-22.Fomme1.v1	G.90	97.785	94.6	91.9	89	1412	63354420	9598269	4291492	1108659	40.8	6583636
Clavulina_sp_PMI_390.ClaPMI390.v1	G.222	97.785	91.5	91.3	91.1	683	41635769	1209696	268447	40932	50.7	826993
Piloderma_croceum_F_1598.Pilcr1.v1	G.37	97.78	92.3	90.1	92.6	715	59326866	1656816	529349	60364	46.3	7014447
Cylindrobasidium_torrendii_FP15055_ss-10.Cylto1.v1	G.42	97.78	92.5	95.9	94.9	1149	31574086	527617	89590	15722	51.9	27055
Agaricus_bisporus_var_bisporus_H97.Agabi_varbisH97_2.v2	G.53	97.78	91.8	94.8	91.9	29	30233745	3343696	2334609	877174	46.5	204967
Phlebia_brevispora_HHB-7030_SS6.Phlbr1.v1	G.85	97.78	94.2	92.4	91.1	1645	49963746	3501122	1314017	14989	52	3531771
Neolentinus_lepideus_HHB14362_ss-1.Neole1.v1	G.157	97.78	92.5	92.4	92.7	331	35640188	1528150	361006	85451	50.9	1293569
Macrolepiota_fuliginosa.Macfu1.v1	G.164	97.78	93.9	94.8	94.1	3478	46396944	626075	54161	5554	48.2	757299
Scleroderma_citrinum_Foug_A.Sclci1.v1	G.209	97.78	89	90.1	93.4	938	56144862	1200568	242638	63552	48.6	3418008
Tricholoma_matsutake_945.Trima3.v3	G.249	97.78	92.3	91.3	93.8	2546	175759688	1315314	320875	53127	45.4	23739117
Calocera_cornea_HHB12733.Calco1.v1	G.279	97.78	94.3	94.8	94.6	545	33244933	592208	169300	43896	57	408281
Agaricostilbum_hyphaenes_ATCC_MYA-4628.Agahy1.v1	G.8	97.58	90.9	90.7	91.9	108	17894169	1649997	720429	143037	54	7944
Boletus_edulis_BED1.Boled1.v1	G.81	97.58	90	91.3	93.8	1099	46637611	1714473	290510	27520	50.1	6832653
Chaetomium_globosum_CBS_148.51	G.110	97.58	98.7	97.1	96.5	19	34272425	6612759	4721439	3632349	56	549677
Suillus_brevipes.Suibr1.v1	G.159	97.58	90.4	93	92.9	1550	51712595	1026171	158548	19662	48.1	2523314
Cryptococcus_neoformans_var._neoformans_JEC21	G.179	97.58	93.2	90.7	90.9	14	19051922	2300533	1438950	906719	48.5	1860
Backusella_circina_FSU_941.Bacci1.v1	G.291	97.58	91.5	94.2	96.1	1095	48648288	1130215	185938	40296	34.5	1564966
Laccaria_amethystina_LaAM-08-1.Lacam1.v1	G.295	97.58	91	91.3	92.9	1299	52197432	841987	120972	22585	46.9	4510436
Omphalotus_olearius_VT_653.13.Ompol1	G.299	97.58	89	94.8	93.8	868	28145093	949751	199357	22541	47.4	147277
Ganoderma_sp_10597_SS1.Gansp1.v1	G.323	97.58	94.7	90.7	90.7	156	39522573	4606855	2725691	1965372	55.7	995320
Phlebiopsis_gigantea_11061_1_CR5-6.Phlgi1.v1	G.39	97.38	94.9	93	94.3	573	30143925	612519	120609	30865	54.8	444319
Meira_miltonrushii_CBS_12591.Meimi1.v1	G.134	97.38	95.5	93.6	96	32	17383515	4959770	4542697	1273998	43.1	103987
Pisolithus_tinctorius_Marx_270.Pisti1.v1	G.154	97.38	90	91.3	93.4	610	71007534	2369842	491489	104777	48.9	9424153
Punctularia_strigosozonata_HHB-11173_SS5	G.185	97.38	91.9	93	95.3	177	34119636	4675683	2122796	585901	55.2	1098791
Wolfiporia_cocos_MD-104_SS10.Wolco1.v1	G.187	97.38	95.4	91.3	91.9	348	50483556	5105897	2538849	689189	52.2	2239745
Fibroporia_radiculosa_TFFH_294	G.320	97.38	90.4	90.7	94.1	850	28325165	346962	81414	16052	51.2	160710
Calosphaeria_pulchella	G.126	97.375	98.7	98.3	99.8	2010	37801971	489962	63770	11514	52.7	653996
Cortinarius_glaucopus_AT_2004_276.Corgl3.v2	G.149	97.375	92.3	92.4	91.4	769	63450306	2800079	431567	100984	44.1	2760671
Heterobasidion_annosum_TC_32-1.Hetan2.v2	G.153	97.375	91.4	88.4	89.7	15	33649967	3591957	2572835	1764121	52.2	323
Auricularia_subglabra_TFB10046_SS-5.Aurde3_1.v2	G.161	97.375	96.2	90.1	92.6	761	76853599	2141343	618495	136148	58.6	10212091
Naiadella_fluitans_ATCC_64713.Naifl1.v1	G.220	97.375	84	90.1	92.2	1417	52667713	821235	159752	19446	49.3	5716083
Rhizopogon_vinicolor_AM-OR11-026.Rhivi1.v1	G.362	97.18	92.5	91.9	94.1	2310	36102320	560457	43737	7027	48.2	829592
Heterogastridium_pycnidioideum_ATCC_MYA-4631.Hetpy1.v1	G.195	97.175	57	90.7	90.9	117	17579447	1603391	631137	147009	43.4	273175
Neolecta_irregularis_DAH-1.v1	G.234	97.175	42	91.9	94.4	7101	14591686	131778	16004	832	44.2	4660
Jaapia_argillacea_MUCL_33604.Jaaar1.v1	G.273	97.175	92.5	92.4	92.1	295	45045919	3433974	1085034	179359	49.8	1770682
Gymnopus_luxurians.Gymlu1.v1	G.303	97.175	92	94.8	92.1	383	66281680	3435311	635431	148918	45.1	1063598
Trichosporon_oleaginosus_IBC0246.Triol1.v1	G.317	97.175	91.1	89	95.6	180	19835558	646641	216041	66953	60.8	4840
Wallemia_ichthyophaga_EXF-994	G.33	96.975	86	82.6	95.3	68	9622738	793587	436658	176029	45.4	26398
Hydnomerulius_pinastri.Hydpi2.v2	G.51	96.975	91.7	89.5	91.9	603	38278792	2444957	689477	55042	50.8	3004964
